x,y,z
1913,65,49.0
1914,63,49.0
1914,70,49.0
1915,63,49.0
1915,70,49.0
1916,63,49.0
1916,70,49.0
1917,65,49.0
1917,68,49.0
1918,65,49.0
1918,68,49.0
1919,65,49.0
1919,68,49.0
1920,63,49.0
1921,63,49.0
1922,63,49.0
1923,65,49.0
1924,65,49.0
1925,65,49.0
1926,63,49.0
1927,63,49.0
1928,63,49.0
1929,65,49.0
1930,65,49.0
1931,65,49.0
1932,63,49.0
1933,63,49.0
1934,63,49.0
1935,65,49.0
1936,65,49.0
1937,65,49.0
1938,63,49.0
1938,70,49.0
1939,63,49.0
1939,70,49.0
1940,63,49.0
1940,70,49.0
1941,65,49.0
1941,68,49.0
1942,65,49.0
1942,68,49.0
1943,65,49.0
1943,68,49.0
1944,63,49.0
1944,70,49.0
1945,63,49.0
